"word1","word2","freq"
"patient","good",369
"professional","become",307
"patient","care",294
"professional","patient",262
"school","dental",256
"will","patient",224
"treat","patient",205
"patient","learn",198
"treatment","patient",186
"patient","can",179
"patient","dental",177
"will","good",172
"patient","clinic",168
"professional","dental",156
"provide","patient",153
"patient","make",151
"good","care",150
"will","professional",145
"professional","good",142
"patient","also",141
"skill","patient",141
"work","patient",141
"patient","become",139
"provide","care",139
"patient","able",138
"dentist","become",134
"good","become",133
"patient","dentist",133
"good","can",128
"patient","health",125
"patient","need",125
"year","dental",124
"want","patient",124
"patient","feel",123
"skill","knowledge",121
"skill","professional",117
"provide","good",113
"treatment","plan",112
"year","learn",110
"professional","learn",109
"will","become",108
"understand","patient",108
"health","care",107
"year","school",106
"patient","experience",105
"learn","clinic",104
"will","learn",104
"dental","care",102
"learn","good",101
"patient","hope",100
"year","patient",100
"will","care",99
"learn","dental",99
"competent","become",98
"trust","patient",98
"professional","care",97
"good","dental",94
"will","dental",94
"year","clinic",92
"good","dentist",92
"can","become",91
"learn","become",91
"learn","can",91
"like","feel",90
"skill","become",89
"patient","come",89
"patient","knowledge",89
"dental","become",88
"procedure","patient",88
"work","professional",88
"want","good",85
"see","patient",85
"will","skill",85
"patient","one",84
"plan","patient",84
"good","also",82
"possible","good",82
"will","dentist",81
"patient","important",81
"time","patient",81
"professional","can",80
"patient","ethical",80
"professional","health",80
"year","professional",80
"professional","also",79
"make","good",78
"skill","learn",78
"patient","always",77
"patient","help",77
"much","learn",77
"professional","dentist",76
"professional","one",76
"skill","clinical",75
"skill","dental",75
"professional","make",75
"possible","patient",75
"way","patient",75
"learn","also",74
"will","can",74
"skill","good",74
"practice","patient",74
"patient","communicate",73
"professional","feel",73
"look","forward",73
"treatment","good",72
"work","hard",72
"dentist","can",71
"patient","colleague",71
"year","will",71
"year","become",70
"field","dentistry",70
"patient","dentistry",70
"oral","health",70
"make","decision",69
"will","make",69
"professional","mean",69
"dentist","competent",68
"hope","good",68
"patient","now",67
"professional","believe",66
"dentist","dental",66
"professional","field",65
"will","health",65
"patient","know",65
"professional","knowledge",65
"work","learn",65
"professional","competent",64
"will","continue",64
"want","dentist",64
"patient","faculty",64
"good","feel",64
"year","first",64
"patient","gain",64
"health","good",64
"school","patient",64
"will","provide",64
"will","also",63
"good","clinic",63
"patient","clinical",63
"skill","communication",63
"health","dental",63
"learn","dentistry",63
"patient","first",63
"work","good",63
"school","learn",63
"relationship","patient",63
"work","will",63
"dental","can",62
"year","four",62
"year","next",62
"will","time",62
"want","can",61
"patient","communication",61
"will","hope",61
"care","become",60
"work","become",60
"feel","dental",60
"patient","develop",60
"learn","experience",60
"time","good",60
"year","nyucd",60
"take","patient",60
"good","able",59
"skill","dentist",59
"patient","every",59
"patient","give",59
"will","help",59
"skill","improve",59
"patient","like",59
"school","professional",59
"knowledge","become",58
"hope","can",58
"year","good",58
"professional","important",58
"will","knowledge",58
"lot","learn",58
"patient","much",58
"professional","able",57
"become","also",57
"knowledge","dental",57
"patient","different",57
"professional","experience",57
"provide","professional",57
"will","school",57
"patient","ability",56
"dental","also",56
"hope","become",56
"now","clinic",56
"need","good",56
"will","able",55
"professional","clinic",55
"hope","dental",55
"will","dentistry",55
"make","feel",55
"skill","hope",55
"patient","build",54
"care","can",54
"possible","care",54
