"word1","word2","freq","proportion"
"patient","patient",445,0.208528584817245
"professional","professional",400,0.187441424554827
"will","will",339,0.158856607310216
"good","good",333,0.156044985941893
"become","become",287,0.134489222118088
"dental","dental",269,0.126054358013121
"learn","learn",256,0.119962511715089
"year","year",253,0.118556701030928
"school","school",186,0.0871602624179944
"dentist","dentist",179,0.0838800374882849
"hope","hope",172,0.0805998125585754
"can","can",170,0.0796626054358013
"feel","feel",169,0.0791940018744142
"want","want",169,0.0791940018744142
"clinic","clinic",164,0.0768509840674789
"also","also",162,0.0759137769447048
"time","time",161,0.0754451733833177
"care","care",159,0.0745079662605436
"make","make",158,0.0740393626991565
"work","work",158,0.0740393626991565
"skill","skill",139,0.0651358950328022
"now","now",119,0.0557638238050609
"dentistry","dentistry",116,0.0543580131208997
"knowledge","knowledge",109,0.0510777881911903
"like","like",107,0.0501405810684161
"able","able",105,0.049203373945642
"ethical","ethical",105,0.049203373945642
"competent","competent",103,0.0482661668228679
"get","get",102,0.0477975632614808
"take","take",99,0.0463917525773196
"believe","believe",98,0.0459231490159325
"need","need",97,0.0454545454545455
"nyucd","nyucd",97,0.0454545454545455
"provide","provide",95,0.0445173383317713
"much","much",93,0.0435801312089972
"know","know",92,0.0431115276476101
"help","help",90,0.042174320524836
"think","think",90,0.042174320524836
"health","health",89,0.0417057169634489
"important","important",86,0.0402999062792877
"practice","practice",86,0.0402999062792877
"one","one",85,0.0398313027179007
"goal","goal",84,0.0393626991565136
"first","first",83,0.0388940955951265
"student","student",83,0.0388940955951265
"see","see",82,0.0384254920337395
"experience","experience",81,0.0379568884723524
"community","community",80,0.0374882849109653
"come","come",75,0.03514526710403
"continue","continue",73,0.0342080599812559
"go","go",72,0.0337394564198688
"start","start",72,0.0337394564198688
"many","many",71,0.0332708528584817
"field","field",69,0.0323336457357076
"just","just",68,0.0318650421743205
"have","have",66,0.0309278350515464
"life","life",65,0.0304592314901593
"look","look",63,0.0295220243673852
"way","way",63,0.0295220243673852
"mean","mean",62,0.0290534208059981
"profession","profession",62,0.0290534208059981
"gain","gain",61,0.0285848172446111
"hard","hard",61,0.0285848172446111
"people","people",61,0.0285848172446111
"lot","lot",60,0.028116213683224
"treat","treat",59,0.0276476101218369
"give","give",58,0.0271790065604499
"oral","oral",57,0.0267104029990628
"ethic","ethic",56,0.0262417994376757
"understand","understand",56,0.0262417994376757
"class","class",55,0.0257731958762887
"course","course",55,0.0257731958762887
"develop","develop",55,0.0257731958762887
"future","future",54,0.0253045923149016
"every","every",53,0.0248359887535145
"lab","lab",52,0.0243673851921275
"clinical","clinical",51,0.0238987816307404
"really","really",51,0.0238987816307404
"im","im",49,0.0229615745079663
"always","always",48,0.0224929709465792
"faculty","faculty",48,0.0224929709465792
"day","day",47,0.0220243673851921
"great","great",47,0.0220243673851921
"healthcare","healthcare",47,0.0220243673851921
"peer","peer",47,0.0220243673851921
"career","career",46,0.0215557638238051
"different","different",46,0.0215557638238051
"progress","progress",46,0.0215557638238051
"treatment","treatment",46,0.0215557638238051
"grow","grow",45,0.021087160262418
"improve","improve",45,0.021087160262418
"may","may",45,0.021087160262418
"nyu","nyu",45,0.021087160262418
"thing","thing",45,0.021087160262418
"use","use",45,0.021087160262418
"build","build",44,0.0206185567010309
"next","next",44,0.0206185567010309
"other","other",44,0.0206185567010309
"two","two",44,0.0206185567010309
"confident","confident",43,0.0201499531396439
"try","try",43,0.0201499531396439
"involve","involve",42,0.0196813495782568
"new","new",42,0.0196813495782568
"outreach","outreach",42,0.0196813495782568
"possible","possible",42,0.0196813495782568
"forward","forward",41,0.0192127460168697
"ive","ive",41,0.0192127460168697
"opportunity","opportunity",41,0.0192127460168697
"procedure","procedure",41,0.0192127460168697
"realize","realize",41,0.0192127460168697
"begin","begin",40,0.0187441424554827
"even","even",40,0.0187441424554827
"find","find",40,0.0187441424554827
"order","order",40,0.0187441424554827
"professionalism","professionalism",40,0.0187441424554827
"set","set",40,0.0187441424554827
"still","still",40,0.0187441424554827
"relationship","relationship",39,0.0182755388940956
"four","four",38,0.0178069353327085
"decision","decision",37,0.0173383317713215
