"word1","word2","freq"
"school","dental",29
"professional","become",25
"dentist","become",22
"will","patient",22
"patient","dentist",21
"patient","care",20
"patient","good",19
"skill","knowledge",17
"competent","become",15
"dental","care",14
"want","good",14
"dentist","competent",13
"dental","also",12
"good","become",12
"learn","dental",12
"learn","good",12
"will","good",12
"skill","patient",12
"skill","professional",12
"will","professional",12
"will","care",11
"hope","dental",11
"patient","hope",11
"professional","patient",11
"provide","patient",11
"will","become",10
"provide","care",10
"patient","competent",10
"dentist","dental",10
"patient","dental",10
"will","dental",10
"year","four",10
"good","get",10
"help","good",10
"professional","good",10
"will","learn",10
"professional","make",10
"will","make",10
"patient","need",10
"will","able",9
"hope","become",9
"knowledge","become",9
"patient","become",9
"health","care",9
"dental","community",9
"like","dental",9
"professional","dental",9
"want","dentist",9
"work","good",9
"patient","health",9
"learn","hope",9
"patient","knowledge",9
"professional","knowledge",9
"patient","learn",9
"professional","learn",9
"school","like",9
"want","patient",9
"patient","able",8
"skill","become",8
"hope","can",8
"community","care",8
"hope","care",8
"skill","competent",8
"skill","dental",8
"year","dental",8
"good","dentist",8
"skill","dentist",8
"patient","ethical",8
"year","get",8
"year","good",8
"patient","help",8
"will","help",8
"year","learn",8
"want","school",8
"year","school",8
"will","time",8
"year","will",8
"good","able",7
"hope","able",7
"learn","also",7
"will","also",7
"dental","become",7
"school","become",7
"want","become",7
"work","become",7
"year","become",7
"patient","can",7
"dentist","care",7
"will","continue",7
"good","dental",7
"research","dental",7
"hope","dentist",7
"knowledge","dentist",7
"like","feel",7
"patient","feel",7
"professional","feel",7
"year","first",7
"knowledge","good",7
"try","good",7
"year","hope",7
"time","know",7
"will","know",7
"patient","make",7
"professional","mean",7
"year","next",7
"treat","patient",7
"treatment","patient",7
"will","provide",7
"will","skill",7
"can","also",6
"help","become",6
"hope","build",6
"care","can",6
"want","can",6
"will","can",6
"give","care",6
"dental","clinical",6
"will","clinical",6
"feel","comfortable",6
"hope","community",6
"dental","competent",6
"hope","competent",6
"knowledge","competent",6
"year","competent",6
"goal","dental",6
"help","dental",6
"make","dental",6
"practice","dental",6
"want","dental",6
"will","dentist",6
"work","dentist",6
"year","dentist",6
"good","dentistry",6
"will","dentistry",6
"year","dentistry",6
"skill","develop",6
"hope","good",6
"school","good",6
"skill","good",6
"thing","good",6
"time","good",6
"year","have",6
"oral","health",6
"learn","help",6
"knowledge","hope",6
"professional","hope",6
"skill","hope",6
"will","hope",6
"patient","improve",6
"school","learn",6
"want","learn",6
"year","lot",6
"think","make",6
"skill","necessary",6
"way","patient",6
"work","patient",6
"think","school",6
"want","try",6
"work","want",6
"skill","ability",5
"also","able",5
"care","able",5
"work","able",5
"skill","acquire",5
"good","also",5
"help","also",5
"research","also",5
"year","also",5
"look","back",5
"community","become",5
"learn","become",5
"profession","become",5
"think","become",5
"dental","can",5
"dentist","can",5
"good","can",5
"professional","care",5
"system","care",5
"contribute","clinical",5
"professional","clinical",5
"hope","colleague",5
"will","come",5
"patient","communicate",5
"health","community",5
"make","community",5
"oral","community",5
"participate","community",5
"provide","community",5
"goal","competent",5
"next","competent",5
"professional","competent",5
"will","competent",5
"dental","contribute",5
"ethical","dental",5
"four","dental",5
"knowledge","dental",5
"profession","dental",5
"student","dental",5
"technique","dental",5
"ethical","dentist",5
"give","dentist",5
"great","dentist",5
"learn","dentist",5
"practice","dentist",5
"professional","dentist",5
"school","dentist",5
"hope","dentistry",5
"knowledge","develop",5
"hope","ethical",5
"professional","ethical",5
"professional","even",5
"patient","experience",5
"want","feel",5
"look","forward",5
"patient","forward",5
"school","four",5
"patient","future",5
"skill","gain",5
"school","get",5
"want","get",5
"hope","give",5
"patient","give",5
"put","good",5
"will","health",5
"skill","help",5
"provide","hope",5
"school","hope",5
"understand","hope",5
"professional","know",5
"will","knowledge",5
"practice","learn",5
"technique","learn",5
"work","learn",5
"patient","look",5
"school","make",5
"will","need",5
"time","nyucd",5
"professional","other",5
"participate","outreach",5
