"word1","word2","freq","proportion"
"patient","patient",3470,0.276913255127284
"professional","professional",2311,0.184422631872955
"good","good",1827,0.145798419918602
"dental","dental",1729,0.137977815018754
"learn","learn",1683,0.134306918841274
"will","will",1633,0.130316814300535
"become","become",1327,0.105897374511212
"year","year",1282,0.102306280424547
"care","care",1166,0.0930492378900327
"feel","feel",1066,0.0850690288085548
"skill","skill",1048,0.0836325911738888
"dentist","dentist",1033,0.0824355598116671
"work","work",1019,0.0813183305402602
"can","can",1016,0.0810789242678158
"school","school",993,0.0792434761790759
"dentistry","dentistry",938,0.074854361184263
"also","also",866,0.0691086106455989
"make","make",832,0.0663953395578964
"time","time",812,0.0647992977416008
"clinic","clinic",805,0.0642406831058974
"experience","experience",765,0.0610485994733062
"provide","provide",717,0.0572180991141968
"practice","practice",682,0.0544250259356795
"treatment","treatment",681,0.0543452238448647
"ethical","ethical",668,0.0533077966642726
"health","health",658,0.0525097757561248
"knowledge","knowledge",648,0.051711754847977
"want","want",638,0.0509137339398292
"continue","continue",609,0.0485994733062006
"able","able",604,0.0482004628521267
"need","need",589,0.047003431489905
"hope","hope",578,0.0461256084909425
"come","come",567,0.0452477854919799
"treat","treat",563,0.0449285771287208
"think","think",553,0.044130556220573
"take","take",552,0.0440507541297582
"one","one",549,0.0438113478573139
"help","help",545,0.0434921394940547
"competent","competent",528,0.0421355039502035
"believe","believe",527,0.0420557018593887
"much","much",525,0.0418960976777592
"important","important",522,0.0416566914053148
"like","like",517,0.0412576809512409
"clinical","clinical",507,0.0404596600430931
"always","always",502,0.0400606495890192
"know","know",490,0.0391030244992419
"now","now",443,0.0353523262309473
"nyucd","nyucd",436,0.0347937115952438
"life","life",432,0.0344745032319847
"community","community",422,0.0336764823238369
"way","way",421,0.0335966802330221
"see","see",416,0.0331976697789482
"many","many",414,0.0330380655973187
"first","first",412,0.0328784614156891
"gain","gain",404,0.0322400446891709
"improve","improve",403,0.0321602425983561
"ethic","ethic",400,0.0319208363259117
"faculty","faculty",400,0.0319208363259117
"understand","understand",395,0.0315218258718378
"get","get",393,0.0313622216902083
"student","student",391,0.0312026175085787
"career","career",383,0.0305642007820605
"nyu","nyu",377,0.0300853882371718
"plan","plan",370,0.0295267736014684
"look","look",368,0.0293671694198388
"go","go",366,0.0292075652382092
"goal","goal",361,0.0288085547841353
"grow","grow",359,0.0286489506025058
"give","give",354,0.0282499401484319
"oral","oral",352,0.0280903359668023
"profession","profession",346,0.0276115234219137
"people","people",345,0.0275317213310989
"procedure","procedure",343,0.0273721171494693
"great","great",339,0.0270529087862102
"confident","confident",327,0.0260952836964328
"every","every",316,0.0252174606974703
"field","field",312,0.0248982523342112
"thing","thing",311,0.0248184502433964
"new","new",309,0.0246588460617668
"just","just",302,0.0241002314260634
"start","start",302,0.0241002314260634
"different","different",297,0.0237012209719895
"try","try",297,0.0237012209719895
"future","future",296,0.0236214188811747
"develop","develop",295,0.0235416167903599
"lot","lot",295,0.0235416167903599
"day","day",293,0.0233820126087303
"mean","mean",293,0.0233820126087303
"set","set",293,0.0233820126087303
"education","education",280,0.0223445854281382
"trust","trust",279,0.0222647833373234
"four","four",277,0.0221051791556939
"past","past",277,0.0221051791556939
"still","still",276,0.0220253770648791
"ability","ability",275,0.0219455749740643
"progress","progress",275,0.0219455749740643
"keep","keep",274,0.0218657728832495
"strive","strive",268,0.0213869603383609
"build","build",267,0.0213071582475461
"colleague","colleague",259,0.0206687415210279
"even","even",258,0.0205889394302131
"may","may",255,0.0203495331577687
"do","do",251,0.0200303247945096
"relationship","relationship",251,0.0200303247945096
"really","really",248,0.0197909185220653
"course","course",246,0.0196313143404357
"standard","standard",246,0.0196313143404357
"ive","ive",241,0.0192323038863618
"professionalism","professionalism",240,0.019152501795547
"respect","respect",240,0.019152501795547
"high","high",239,0.0190726997047323
"must","must",239,0.0190726997047323
"end","end",237,0.0189130955231027
"realize","realize",236,0.0188332934322879
"aspect","aspect",235,0.0187534913414731
"peer","peer",235,0.0187534913414731
"communication","communication",234,0.0186736892506584
"order","order",232,0.0185140850690288
"graduation","graduation",231,0.018434282978214
"possible","possible",227,0.0181150746149549
"begin","begin",226,0.0180352725241401
"decision","decision",226,0.0180352725241401
"throughout","throughout",226,0.0180352725241401
"challenge","challenge",224,0.0178756683425106
"hard","hard",224,0.0178756683425106
"have","have",224,0.0178756683425106
"situation","situation",222,0.017716064160881
"find","find",220,0.0175564599792515
"require","require",220,0.0175564599792515
"opportunity","opportunity",218,0.0173968557976219
"healthcare","healthcare",217,0.0173170537068071
"maintain","maintain",217,0.0173170537068071
"forward","forward",215,0.0171574495251776
"back","back",212,0.0169180432527332
"right","right",211,0.0168382411619184
"however","however",208,0.0165988348894741
"quality","quality",208,0.0165988348894741
"im","im",205,0.0163594286170298
"graduate","graduate",204,0.016279626526215
"other","other",204,0.016279626526215
"last","last",202,0.0161200223445854
"long","long",202,0.0161200223445854
"part","part",202,0.0161200223445854
"say","say",202,0.0161200223445854
"person","person",201,0.0160402202537706
"practitioner","practitioner",199,0.0158806160721411
"two","two",199,0.0158806160721411
"provider","provider",195,0.015561407708882
"personal","personal",194,0.0154816056180672
"general","general",191,0.0152421993456229
"something","something",190,0.0151623972548081
"change","change",189,0.0150825951639933
"residency","residency",188,0.0150027930731785
"us","us",185,0.0147633868007342
"interest","interest",183,0.0146037826191046
"responsibility","responsibility",182,0.0145239805282898
"confidence","confidence",181,0.0144441784374751
"next","next",179,0.0142845742558455
"communicate","communicate",178,0.0142047721650307
"program","program",174,0.0138855638017716
