"word1","word2","freq"
"professional","become",158
"school","dental",128
"patient","good",102
"will","patient",101
"professional","patient",85
"will","good",79
"patient","care",74
"patient","learn",67
"professional","dental",63
"professional","good",63
"dentist","become",60
"good","become",60
"will","professional",60
"year","school",60
"learn","good",58
"year","dental",56
"want","patient",55
"treat","patient",54
"good","can",52
"patient","clinic",51
"professional","learn",50
"will","become",49
"want","good",49
"will","learn",49
"patient","also",48
"competent","become",47
"patient","become",47
"good","care",47
"provide","care",47
"skill","become",46
"good","dentist",46
"provide","patient",46
"patient","can",44
"work","patient",44
"skill","professional",44
"patient","able",43
"health","care",43
"patient","dentist",43
"patient","hope",43
"learn","dental",42
"patient","dental",42
"dental","become",41
"see","patient",41
"hope","become",40
"learn","become",40
"will","care",40
"year","will",40
"year","learn",39
"will","dentist",38
"year","four",38
"patient","need",38
"skill","patient",38
"professional","care",37
"good","dental",37
"skill","knowledge",37
"year","next",37
"treatment","patient",37
"year","two",37
"hope","dental",36
"will","dental",36
"like","feel",36
"hope","good",36
"professional","mean",36
"year","professional",36
"dental","care",35
"will","clinic",35
"year","first",35
"look","forward",34
"work","hard",34
"patient","make",34
"year","become",33
"dentist","competent",33
"time","good",33
"oral","health",33
"will","provide",33
"good","also",32
"can","become",32
"school","good",32
"year","good",32
"patient","health",32
"patient","now",32
"school","professional",32
"work","will",32
"learn","also",31
"will","also",31
"will","help",31
"year","hope",31
"patient","competent",30
"patient","feel",30
"professional","feel",30
"patient","first",30
"provide","good",30
"professional","knowledge",30
"work","professional",30
"good","able",29
"learn","can",29
"patient","help",29
"much","learn",29
"school","learn",29
"will","make",29
"time","patient",29
"will","skill",29
"dental","also",28
"school","become",28
"professional","can",28
"help","good",28
"make","good",28
"learn","hope",28
"will","take",28
"start","clinic",27
"professional","competent",27
"professional","dentist",27
"patient","ethical",27
"good","feel",27
"good","get",27
"professional","hope",27
"skill","learn",27
"understand","patient",27
"year","patient",27
"will","time",27
"learn","clinic",26
"make","decision",26
"knowledge","dental",26
"want","dentist",26
"will","experience",26
"professional","help",26
"will","hope",26
"professional","need",26
"progress","professional",26
"knowledge","become",25
"professional","believe",25
"dentist","can",25
"good","clinic",25
"skill","competent",25
"health","good",25
"skill","good",25
"work","learn",25
"professional","make",25
"become","also",24
"professional","also",24
"work","become",24
"hope","can",24
"will","can",24
"feel","clinic",24
"now","clinic",24
"student","dental",24
"hope","dentist",24
"skill","dentist",24
"patient","experience",24
"work","good",24
"will","know",24
"patient","knowledge",24
"time","learn",24
"will","nyucd",24
"make","can",23
"will","community",23
"dentistry","dental",23
"skill","dental",23
"professional","experience",23
"make","feel",23
"knowledge","gain",23
"will","knowledge",23
"practice","patient",23
"will","school",23
"professional","able",22
"goal","become",22
"want","can",22
"professional","clinic",22
"white","coat",22
"learn","dentist",22
"field","dentistry",22
"year","feel",22
"patient","get",22
"professional","health",22
"patient","important",22
"possible","patient",22
"will","want",22
"work","also",21
"time","clinic",21
"dental","continue",21
"will","continue",21
"professional","ethical",21
"year","get",21
"possible","good",21
"take","good",21
"skill","hope",21
"patient","interact",21
"year","knowledge",21
"want","make",21
"think","patient",21
"year","skill",21
"will","think",21
"want","able",20
"care","become",20
"want","become",20
"want","care",20
"year","come",20
"feel","comfortable",20
"outreach","community",20
"feel","confident",20
"feel","dental",20
"make","dental",20
"want","dental",20
"year","dentist",20
"much","good",20
"oral","good",20
"year","have",20
"knowledge","hope",20
"professional","important",20
"learn","knowledge",20
"year","like",20
"year","much",20
"will","need",20
"professional","now",20
"year","nyucd",20
"will","practice",20
"think","professional",20
"understand","professional",20
"want","professional",20
"year","time",20
"year","work",20
"dental","able",19
"nyucd","become",19
"time","become",19
"patient","believe",19
"will","believe",19
"hope","care",19
"learn","care",19
"enter","clinic",19
"year","clinic",19
"dental","community",19
"now","dental",19
"provide","dental",19
"goal","dentist",19
"make","dentist",19
"patient","dentistry",19
"patient","gain",19
"important","good",19
"know","good",19
"like","good",19
"will","health",19
"professional","healthcare",19
"school","hope",19
"patient","like",19
"program","outreach",19
"trust","patient",19
"time","professional",19
"want","time",19
"will","able",18
"professional","act",18
"can","also",18
"care","also",18
"health","also",18
"feel","become",18
"help","become",18
"dental","can",18
"community","care",18
"dentist","care",18
"oral","care",18
"dental","competent",18
"good","competent",18
"hope","competent",18
"every","day",18
"dentist","dental",18
"goal","dental",18
"start","dental",18
"provide","dentist",18
"will","ethical",18
"get","feel",18
"professional","field",18
"patient","future",18
"skill","gain",18
"good","give",18
"professional","goal",18
"skill","hand",18
"nyucd","hope",18
"professional","know",18
"make","learn",18
"want","learn",18
"year","make",18
"will","oral",18
"procedure","patient",18
"way","patient",18
"provide","professional",18
"require","professional",18
"way","professional",18
"care","able",17
"hope","also",17
"want","also",17
"make","become",17
"care","can",17
"dental","career",17
"see","clinic",17
"patient","colleague",17
"dental","come",17
"patient","come",17
"knowledge","competent",17
"patient","continue",17
"professional","continue",17
"first","dental",17
"profession","dental",17
"professional","develop",17
"will","feel",17
"will","future",17
"will","get",17
"year","go",17
"patient","goal",17
"knowledge","good",17
"nyucd","good",17
"think","good",17
"learn","know",17
