"word1","word2","freq"
"patient","good",432
"professional","become",391
"patient","care",346
"professional","patient",307
"will","patient",282
"school","dental",272
"treat","patient",241
"patient","can",219
"will","good",212
"professional","dental",210
"treatment","patient",205
"patient","learn",203
"provide","patient",193
"patient","dental",186
"good","care",184
"provide","care",181
"dentist","become",180
"patient","clinic",179
"professional","good",176
"will","professional",174
"patient","become",168
"skill","patient",164
"work","patient",163
"good","become",162
"patient","make",162
"patient","need",161
"skill","knowledge",154
"patient","also",153
"patient","able",151
"good","can",150
"patient","dentist",147
"patient","health",147
"professional","learn",146
"health","care",143
"patient","feel",143
"want","patient",141
"skill","professional",141
"year","learn",139
"will","become",137
"professional","care",137
"year","dental",134
"patient","hope",132
"competent","become",130
"provide","good",130
"dental","care",129
"understand","patient",123
"dental","become",121
"will","dental",121
"work","professional",120
"skill","become",119
"learn","good",119
"patient","knowledge",119
"good","dentist",118
"will","care",117
"patient","experience",116
"will","skill",116
"learn","become",114
"year","patient",114
"good","dental",112
"will","learn",112
"year","school",111
"learn","clinic",110
"treatment","plan",109
"learn","dental",108
"like","feel",107
"skill","good",107
"professional","health",107
"work","will",105
"professional","also",104
"year","clinic",104
"will","dentist",104
"trust","patient",104
"oral","health",103
"year","will",103
"patient","important",101
"year","professional",101
"year","next",100
"see","patient",100
"professional","can",98
"time","patient",98
"can","become",95
"professional","competent",95
"year","become",94
"want","good",94
"patient","come",93
"professional","dentist",93
"patient","ethical",92
"make","good",92
"patient","one",92
"procedure","patient",92
"learn","can",91
"dentist","competent",91
"work","hard",90
"will","can",89
"professional","knowledge",89
"skill","learn",89
"way","patient",89
"professional","believe",88
"good","also",87
"possible","good",87
"treatment","good",87
"professional","one",87
"dentist","dental",86
"health","good",86
"patient","help",86
"will","make",86
"patient","communicate",85
"year","four",85
"hope","good",85
"year","nyucd",85
"possible","patient",85
"patient","always",84
"care","become",84
"will","knowledge",84
"skill","dental",83
"look","forward",83
"patient","dentistry",82
"will","time",82
"patient","first",81
"patient","get",81
"patient","gain",80
"professional","make",80
"provide","professional",80
"will","also",79
"skill","clinical",79
"professional","mean",79
"patient","now",79
"plan","patient",79
"skill","improve",78
"patient","like",78
"relationship","patient",78
"knowledge","become",76
"professional","feel",76
"work","good",76
"dentist","can",75
"patient","communication",75
"skill","dentist",75
"patient","different",75
"learn","experience",75
"dental","can",74
"practice","patient",74
"learn","also",73
"knowledge","dental",73
"field","dentistry",73
"professional","ethical",73
"patient","faculty",73
"will","health",73
"will","help",73
"much","learn",73
"will","provide",73
"work","become",72
"patient","colleague",72
"patient","competent",72
"will","continue",72
"make","decision",72
"good","feel",72
"year","first",72
"need","good",72
"will","hope",72
"patient","know",72
"take","patient",72
"good","able",71
"professional","field",71
"lot","learn",71
"school","learn",71
"school","professional",71
"hope","become",70
"will","competent",70
"provide","dental",70
"student","dental",70
"want","dentist",70
"knowledge","gain",70
"patient","give",70
"knowledge","good",70
"year","good",70
"skill","hope",70
"dental","also",69
"experience","clinic",69
"good","clinic",69
"skill","communication",69
"learn","dentistry",69
"patient","improve",69
"professional","able",68
"professional","hope",68
"patient","much",68
"possible","care",67
"time","good",67
"year","skill",67
"make","can",66
"learn","care",66
"patient","clinical",66
"skill","competent",66
"health","dental",66
"patient","every",66
"work","learn",66
"want","can",65
"skill","gain",65
"year","hope",65
"think","patient",65
"skill","care",64
"professional","important",64
"patient","oral",64
"school","patient",64
"become","also",63
"dental","competent",63
"learn","dentist",63
"professional","experience",63
"can","also",62
"goal","become",62
"school","become",62
"will","need",62
"understand","professional",62
"will","school",62
"patient","believe",61
"now","clinic",61
"time","clinic",61
"work","clinic",61
"want","dental",61
"try","patient",61
"take","professional",61
"want","professional",61
"want","become",60
"feel","dental",60
"dentist","also",59
"patient","build",59
"care","can",59
"professional","clinic",59
"will","dentistry",59
"gain","experience",59
"will","nyucd",59
"way","professional",59
"dentist","care",58
"dental","community",58
"profession","dental",58
"patient","develop",58
"help","good",58
"treat","good",58
"patient","may",58
"peer","patient",58
"dentistry","dental",57
"will","experience",57
"like","good",57
"make","learn",57
"patient","must",57
"respect","patient",57
"progress","professional",57
"time","professional",57
"will","able",56
"nyucd","become",56
"hope","dental",56
"good","dentistry",56
"will","feel",56
"understand","good",56
"think","professional",56
"will","take",56
"care","able",55
"skill","also",55
"practice","dental",55
"make","feel",55
"know","good",55
"school","good",55
"year","have",55
"professional","healthcare",55
"standard","high",55
"time","make",55
"want","make",55
"professional","need",55
"year","now",55
"dental","able",54
"hope","can",54
"good","give",54
"professional","help",54
"want","learn",54
"professional","life",54
"year","work",54
"health","become",53
"work","can",53
"experience","clinical",53
"professional","community",53
"patient","future",53
"patient","goal",53
"year","knowledge",53
"patient","nyucd",53
"patient","ability",52
"one","become",52
"relationship","build",52
"feel","clinic",52
"professional","dentistry",52
"skill","develop",52
"important","good",52
"learn","knowledge",52
"nyucd","learn",52
"year","past",52
"believe","become",51
"time","become",51
"feel","confident",51
"good","ethical",51
"learn","faculty",51
"year","feel",51
"student","patient",51
"will","practice",51
"will","always",50
"clinic","become",50
"take","become",50
"much","can",50
"need","care",50
"will","community",50
"field","dental",50
"like","dental",50
"make","dental",50
"work","dental",50
"good","get",50
"one","good",50
"year","last",50
"patient","many",50
"good","always",49
"dentistry","become",49
"year","can",49
"community","care",49
"oral","care",49
"want","care",49
"school","dentist",49
"year","dentist",49
"patient","do",49
"learn","feel",49
"time","feel",49
"learn","hope",49
"care","also",48
"work","also",48
"community","become",48
"mean","become",48
"hope","care",48
"quality","care",48
"knowledge","competent",48
"goal","dental",48
"make","dentist",48
"knowledge","dentistry",48
"patient","ethic",48
"will","ethical",48
"patient","find",48
"new","learn",48
"thing","learn",48
"patient","order",48
"provider","patient",48
"require","professional",48
"work","time",48
"year","want",48
"provide","can",47
"knowledge","care",47
"dental","clinic",47
"first","clinic",47
"dentist","community",47
"experience","dental",47
"knowledge","dentist",47
"practice","dentist",47
"work","dentist",47
"patient","high",47
"patient","im",47
"patient","interact",47
"will","know",47
"start","patient",47
"strive","patient",47
"will","peer",47
"professional","practice",47
"will","strive",47
"good","believe",46
"professional","clinical",46
"learn","competent",46
"year","competent",46
"year","experience",46
"work","get",46
"oral","good",46
"try","good",46
"work","hope",46
"patient","mean",46
"skill","need",46
"feel","can",45
"treatment","can",45
"skill","clinic",45
"year","come",45
"hope","competent",45
"hope","dentist",45
"professional","develop",45
"hope","gain",45
"good","goal",45
"treatment","need",45
"professional","peer",45
"treat","professional",45
"treatment","provide",45
"work","skill",45
"year","two",45
"health","can",44
"need","can",44
"competent","care",44
"work","care",44
"patient","decision",44
"will","develop",44
"need","feel",44
"next","four",44
"practice","good",44
"think","good",44
"patient","great",44
"now","learn",44
"patient","manner",44
"will","next",44
"thing","one",44
"time","one",44
"good","ability",43
"one","can",43
"will","clinic",43
"professional","come",43
"feel","comfortable",43
"patient","comfortable",43
"patient","confident",43
"patient","continue",43
"way","good",43
"professional","grow",43
"nyucd","hope",43
"patient","just",43
"professional","know",43
"year","like",43
"professional","manner",43
"professional","order",43
"relationship","professional",43
"want","able",42
"feel","become",42
"will","believe",42
"year","care",42
"see","clinic",42
"outreach","community",42
"dental","continue",42
"learn","continue",42
"ethical","dental",42
"need","dental",42
"peer","faculty",42
"year","gain",42
"professional","goal",42
"much","good",42
"knowledge","hope",42
"will","life",42
"professional","like",42
"year","much",42
"professional","must",42
"skill","practice",42
"skill","require",42
"will","student",42
"confident","become",41
"provide","become",41
"dentistry","can",41
"give","care",41
"start","clinic",41
"good","clinical",41
"good","community",41
"good","competent",41
"year","dentistry",41
"will","faculty",41
"patient","go",41
"strive","good",41
"provide","health",41
"provider","healthcare",41
"patient","interest",41
"patient","keep",41
"treat","learn",41
"time","like",41
"patient","lot",41
"professional","nyucd",41
"will","oral",41
"put","patient",41
"really","patient",41
"provide","possible",41
"professional","profession",41
"time","take",41
"will","try",41
"will","understand",41
"like","also",40
"ethical","care",40
"nyucd","competent",40
"education","dental",40
"gain","dental",40
"good","develop",40
"work","feel",40
"year","goal",40
"improve","good",40
"order","good",40
"skill","hand",40
"patient","healthcare",40
"patient","interaction",40
"need","learn",40
"still","learn",40
"patient","look",40
"year","make",40
