"word1","word2","freq","proportion"
"patient","patient",1557,0.272870662460568
"professional","professional",968,0.169645986680687
"good","good",836,0.146512443042411
"will","will",772,0.135296179460217
"learn","learn",718,0.125832457062741
"dental","dental",678,0.11882229232387
"become","become",636,0.111461619348055
"year","year",545,0.0955134945671223
"can","can",501,0.0878023133543638
"care","care",476,0.0834209603925692
"work","work",468,0.082018927444795
"clinic","clinic",463,0.081142656852436
"skill","skill",462,0.0809674027339642
"dentist","dentist",454,0.07956536978619
"also","also",431,0.0755345250613389
"feel","feel",427,0.0748335085874518
"make","make",427,0.0748335085874518
"school","school",384,0.0672975814931651
"want","want",374,0.0655450403084473
"time","time",365,0.0639677532422012
"dentistry","dentistry",353,0.0618647038205398
"hope","hope",339,0.0594111461619348
"need","need",304,0.0532772520154224
"one","one",300,0.0525762355415352
"treatment","treatment",299,0.0524009814230634
"like","like",294,0.0515247108307045
"knowledge","knowledge",285,0.0499474237644585
"able","able",284,0.0497721696459867
"experience","experience",280,0.0490711531720995
"ethical","ethical",279,0.0488958990536278
"practice","practice",269,0.0471433578689099
"health","health",257,0.0450403084472485
"provide","provide",257,0.0450403084472485
"treat","treat",253,0.0443392919733614
"help","help",240,0.0420609884332282
"think","think",235,0.0411847178408693
"much","much",232,0.0406589554854539
"take","take",232,0.0406589554854539
"come","come",231,0.0404837013669821
"know","know",231,0.0404837013669821
"competent","competent",226,0.0396074307746232
"believe","believe",221,0.0387311601822643
"way","way",221,0.0387311601822643
"important","important",218,0.0382053978268489
"always","always",211,0.0369786189975464
"now","now",209,0.0366281107606029
"nyucd","nyucd",208,0.0364528566421311
"continue","continue",205,0.0359270942867157
"get","get",201,0.0352260778128286
"procedure","procedure",200,0.0350508236943568
"clinical","clinical",199,0.034875569575885
"goal","goal",199,0.034875569575885
"community","community",195,0.0341745531019979
"faculty","faculty",193,0.0338240448650543
"see","see",190,0.033298282509639
"understand","understand",188,0.0329477742726954
"field","field",185,0.0324220119172801
"many","many",184,0.0322467577988083
"life","life",183,0.0320715036803365
"student","student",179,0.0313704872064494
"plan","plan",176,0.030844724851034
"first","first",175,0.0306694707325622
"people","people",175,0.0306694707325622
"gain","gain",173,0.0303189624956186
"go","go",171,0.0299684542586751
"give","give",165,0.0289169295478444
"ethic","ethic",162,0.028391167192429
"look","look",162,0.028391167192429
"improve","improve",161,0.0282159130739572
"profession","profession",160,0.0280406589554855
"develop","develop",158,0.0276901507185419
"lot","lot",153,0.026813880126183
"thing","thing",152,0.0266386260077112
"try","try",146,0.0255871012968805
"trust","trust",145,0.0254118471784087
"different","different",144,0.0252365930599369
"oral","oral",144,0.0252365930599369
"great","great",142,0.0248860848229933
"grow","grow",142,0.0248860848229933
"possible","possible",139,0.024360322467578
"colleague","colleague",135,0.0236593059936909
"peer","peer",135,0.0236593059936909
"every","every",134,0.0234840518752191
"have","have",134,0.0234840518752191
"really","really",133,0.0233087977567473
"progress","progress",132,0.0231335436382755
"still","still",132,0.0231335436382755
"just","just",131,0.0229582895198037
"career","career",130,0.0227830354013319
"mean","mean",124,0.0217315106905012
"ability","ability",123,0.0215562565720294
"start","start",122,0.0213810024535577
"hard","hard",121,0.0212057483350859
"new","new",120,0.0210304942166141
"build","build",119,0.0208552400981423
"find","find",119,0.0208552400981423
"ive","ive",119,0.0208552400981423
"strive","strive",117,0.0205047318611987
"aspect","aspect",116,0.020329477742727
"future","future",116,0.020329477742727
"standard","standard",116,0.020329477742727
"may","may",115,0.0201542236242552
"order","order",115,0.0201542236242552
"set","set",115,0.0201542236242552
"confident","confident",114,0.0199789695057834
"high","high",114,0.0199789695057834
"realize","realize",113,0.0198037153873116
"relationship","relationship",113,0.0198037153873116
"im","im",112,0.0196284612688398
"professionalism","professionalism",110,0.0192779530318962
"communication","communication",109,0.0191026989134245
"must","must",109,0.0191026989134245
"education","education",108,0.0189274447949527
"do","do",107,0.0187521906764809
"nyu","nyu",107,0.0187521906764809
"keep","keep",106,0.0185769365580091
"decision","decision",103,0.0180511742025938
"other","other",103,0.0180511742025938
"interest","interest",102,0.017875920084122
"even","even",101,0.0177006659656502
"challenge","challenge",100,0.0175254118471784
"person","person",99,0.0173501577287066
"day","day",98,0.0171749036102348
"since","since",97,0.0169996494917631
"communicate","communicate",96,0.0168243953732913
"forward","forward",95,0.0166491412548195
"healthcare","healthcare",94,0.0164738871363477
"however","however",94,0.0164738871363477
"program","program",94,0.0164738871363477
"right","right",94,0.0164738871363477
"difficult","difficult",93,0.0162986330178759
"respect","respect",93,0.0162986330178759
"situation","situation",93,0.0162986330178759
"last","last",92,0.0161233788994041
"opportunity","opportunity",92,0.0161233788994041
"require","require",92,0.0161233788994041
"perform","perform",90,0.0157728706624606
"us","us",90,0.0157728706624606
"course","course",89,0.0155976165439888
"personal","personal",88,0.015422362425517
"class","class",87,0.0152471083070452
"far","far",87,0.0152471083070452
"next","next",87,0.0152471083070452
"something","something",87,0.0152471083070452
"part","part",86,0.0150718541885734
"maintain","maintain",85,0.0148966000701016
"involve","involve",84,0.0147213459516299
"long","long",84,0.0147213459516299
"provider","provider",84,0.0147213459516299
"past","past",83,0.0145460918331581
"back","back",81,0.0141955835962145
"focus","focus",80,0.0140203294777427
"outreach","outreach",80,0.0140203294777427
"throughout","throughout",80,0.0140203294777427
"begin","begin",79,0.0138450753592709
"change","change",79,0.0138450753592709
"comfortable","comfortable",79,0.0138450753592709
"graduate","graduate",79,0.0138450753592709
"practitioner","practitioner",79,0.0138450753592709
"allow","allow",75,0.0131440588853838
"apply","apply",75,0.0131440588853838
"strong","strong",75,0.0131440588853838
"complete","complete",74,0.012968804766912
"manner","manner",74,0.012968804766912
"week","week",74,0.012968804766912
"little","little",73,0.0127935506484402
"month","month",72,0.0126182965299685
"responsibility","responsibility",72,0.0126182965299685
"confidence","confidence",71,0.0124430424114967
"teach","teach",71,0.0124430424114967
"say","say",70,0.0122677882930249
"general","general",69,0.0120925341745531
"public","public",69,0.0120925341745531
"quality","quality",69,0.0120925341745531
"use","use",69,0.0120925341745531
"hand","hand",68,0.0119172800560813
"end","end",67,0.0117420259376095
"within","within",67,0.0117420259376095
"towards","towards",66,0.0115667718191377
"achieve","achieve",65,0.011391517700666
"case","case",65,0.011391517700666
"four","four",65,0.011391517700666
"certain","certain",64,0.0112162635821942
"option","option",64,0.0112162635821942
"tooth","tooth",64,0.0112162635821942
"moral","moral",63,0.0110410094637224
"never","never",63,0.0110410094637224
"prepare","prepare",63,0.0110410094637224
"put","put",63,0.0110410094637224
"expect","expect",62,0.0108657553452506
"individual","individual",62,0.0108657553452506
"various","various",62,0.0108657553452506
"didactic","didactic",61,0.0106905012267788
"role","role",61,0.0106905012267788
"area","area",60,0.010515247108307
"journey","journey",60,0.010515247108307
"everything","everything",59,0.0103399929898353
"requirement","requirement",59,0.0103399929898353
"though","though",59,0.0103399929898353
"enjoy","enjoy",58,0.0101647388713635
"follow","follow",58,0.0101647388713635
"manage","manage",58,0.0101647388713635
"self","self",58,0.0101647388713635
"meet","meet",57,0.00998948475289169
"process","process",56,0.00981423063441991
"successful","successful",56,0.00981423063441991
"include","include",55,0.00963897651594812
"principle","principle",55,0.00963897651594812
"two","two",55,0.00963897651594812
"value","value",55,0.00963897651594812
"integrity","integrity",54,0.00946372239747634
"love","love",54,0.00946372239747634
"clinician","clinician",53,0.00928846827900456
"present","present",53,0.00928846827900456
"sure","sure",53,0.00928846827900456
"academic","academic",51,0.00893796004206099
"excite","excite",51,0.00893796004206099
"professionally","professionally",51,0.00893796004206099
"consider","consider",50,0.0087627059235892
"serve","serve",50,0.0087627059235892
"around","around",49,0.00858745180511742
"deliver","deliver",49,0.00858745180511742
"problem","problem",49,0.00858745180511742
"service","service",49,0.00858745180511742
"sometimes","sometimes",49,0.00858745180511742
"act","act",48,0.00841219768664564
"base","base",48,0.00841219768664564
"enter","enter",48,0.00841219768664564
"spend","spend",48,0.00841219768664564
"competency","competency",47,0.00823694356817385
"necessary","necessary",47,0.00823694356817385
"technical","technical",47,0.00823694356817385
"environment","environment",46,0.00806168944970207
"level","level",46,0.00806168944970207
"management","management",46,0.00806168944970207
"term","term",46,0.00806168944970207
"acquire","acquire",45,0.00788643533123028
"action","action",45,0.00788643533123028
"deal","deal",45,0.00788643533123028
"everyone","everyone",45,0.00788643533123028
"graduation","graduation",45,0.00788643533123028
"mentor","mentor",45,0.00788643533123028
"seem","seem",45,0.00788643533123028
