"word1","word2","freq"
"will","oral",15
"professional","order",15
"respect","patient",15
"skill","practice",15
"treat","professional",15
"become","able",14
"can","also",14
"knowledge","also",14
"school","also",14
"clinical","become",14
"next","become",14
"order","become",14
"one","believe",14
"hope","build",14
"care","can",14
"knowledge","care",14
"provider","care",14
"year","care",14
"will","class",14
"will","clinic",14
"professional","clinical",14
"year","clinical",14
"patient","communication",14
"gain","dental",14
"make","dental",14
"practice","dental",14
"student","dentist",14
"work","dentist",14
"hope","dentistry",14
"school","ethical",14
"school","field",14
"good","goal",14
"learn","goal",14
"year","goal",14
"know","good",14
"person","good",14
"professional","great",14
"year","grow",14
"provider","health",14
"professional","healthcare",14
"professional","high",14
"school","like",14
"will","like",14
"professional","manner",14
"school","many",14
"will","many",14
"professional","much",14
"skill","need",14
"think","patient",14
"relationship","professional",14
"understand","professional",14
"quality","provide",14
"throughout","school",14
"want","school",14
"technical","skill",14
"work","skill",14
"year","take",14
"year","think",14
"good","ability",13
"learn","able",13
"will","able",13
"care","also",13
"dentist","also",13
"health","also",13
"make","also",13
"want","also",13
"science","basic",13
"ethical","become",13
"experience","become",13
"improve","become",13
"think","become",13
"patient","believe",13
"patient","build",13
"professional","build",13
"will","build",13
"make","can",13
"skill","can",13
"community","care",13
"dentist","care",13
"will","career",13
"professional","class",13
"good","clinical",13
"school","come",13
"will","come",13
"dentist","community",13
"good","community",13
"want","community",13
"learn","competent",13
"goal","dentist",13
"understand","dentistry",13
"hope","develop",13
"relationship","develop",13
"year","end",13
"important","ethical",13
"make","ethical",13
"though","feel",13
"knowledge","field",13
"learn","field",13
"good","future",13
"professional","gain",13
"patient","goal",13
"peer","good",13
"try","good",13
"hope","graduate",13
"year","great",13
"will","have",13
"provider","healthcare",13
"make","hope",13
"take","hope",13
"throughout","hope",13
"professional","just",13
"need","knowledge",13
"patient","lab",13
"people","learn",13
"time","learn",13
"patient","look",13
"year","look",13
"school","lot",13
"patient","mean",13
"skill","necessary",13
"year","need",13
"will","now",13
"year","nyu",13
"will","one",13
"participate","outreach",13
"provider","patient",13
"see","patient",13
"treatment","plan",13
"work","school",13
"year","student",13
"provide","able",12
"patient","allow",12
"will","always",12
"four","become",12
"life","become",12
"profession","become",12
"require","become",12
"time","become",12
"care","believe",12
"ethical","believe",12
"good","believe",12
"school","believe",12
"ethical","can",12
"knowledge","can",12
"people","can",12
"competent","care",12
"need","care",12
"possible","care",12
"quality","care",12
"dental","career",12
"school","career",12
"will","challenge",12
"good","class",12
"dental","come",12
"good","communicate",12
"dental","community",12
"school","competent",12
"school","continue",12
"four","dental",12
"many","dental",12
"much","dental",12
"one","dental",12
"profession","dental",12
"work","dental",12
"dentistry","dentist",12
"knowledge","dentist",12
"need","dentist",12
"provide","dentist",12
"good","develop",12
"year","develop",12
"important","ethic",12
"good","ethical",12
"learn","ethical",12
"moral","ethical",12
"knowledge","experience",12
"want","experience",12
"work","experience",12
"peer","faculty",12
"grow","feel",12
"time","feel",12
"nyucd","first",12
"year","forward",12
"school","four",12
"skill","four",12
"hope","future",12
"professional","future",12
"school","gain",12
"professional","get",12
"year","give",12
"provide","goal",12
"school","goal",12
"skill","goal",12
"need","good",12
"now","good",12
"take","good",12
"understand","good",12
"will","grow",12
"learn","have",12
"knowledge","health",12
"other","help",12
"patient","help",12
"school","help",12
"oral","hope",12
"student","hope",12
"patient","individual",12
"learn","information",12
"patient","just",12
"year","know",12
"nyucd","knowledge",12
"work","lab",12
"year","lab",12
"one","learn",12
"peer","learn",12
"practice","learn",12
"take","learn",12
"think","learn",12
"want","learn",12
"school","life",12
"patient","like",12
"time","like",12
"progress","make",12
"skill","one",12
"will","other",12
"student","patient",12
"take","patient",12
"student","professional",12
"think","school",12
"want","skill",12
"will","trust",12
"will","try",12
"will","understand",12
"dentistry","also",11
"work","also",11
"professional","always",11
"dentistry","aspect",11
"patient","base",11
"knowledge","basic",11
"believe","become",11
"individual","become",11
"practice","become",11
"practitioner","become",11
"strive","become",11
"student","become",11
"year","begin",11
"learn","believe",11
"feel","can",11
"take","can",11
"school","care",11
"ethic","class",11
"set","clinical",11
"will","clinical",11
"professional","colleague",11
"professional","come",11
"learn","communicate",11
"like","community",11
"professional","competency",11
"feel","confident",11
"lab","course",11
"take","course",11
"people","dental",11
"time","dental",11
"future","dentist",11
"great","dentist",11
"help","dentist",11
"like","dentist",11
"one","dentist",11
"first","dentistry",11
"patient","doctor",11
"health","ethical",11
"gain","experience",11
"make","feel",11
"learn","forward",11
"patient","forward",11
"want","four",11
"school","get",11
"patient","give",11
"work","goal",11
"order","good",11
"other","good",11
"strive","good",11
"student","good",11
"treat","good",11
"treatment","good",11
"school","great",11
"professional","grow",11
"year","hard",11
"year","health",11
"will","healthcare",11
"year","help",11
"next","hope",11
"peer","hope",11
"practice","hope",11
"think","important",11
"patient","importantly",11
"learn","interact",11
"understand","knowledge",11
"look","learn",11
"many","learn",11
"nyu","learn",11
"nyucd","learn",11
"professional","lot",11
"much","make",11
"think","make",11
"school","much",11
"patient","must",11
"professional","next",11
"skill","next",11
"year","now",11
"student","nyucd",11
"practice","one",11
"work","one",11
"provide","oral",11
"will","order",11
"will","outreach",11
"program","participate",11
"plan","patient",11
"strive","patient",11
"professional","peer",11
"will","people",11
"procedure","perform",11
"quality","professional",11
"strong","professional",11
"student","school",11
"way","school",11
"time","think",11
"year","way",11
"patient","ability",10
"dentist","able",10
"dentistry","able",10
"school","able",10
"want","able",10
"practice","also",10
"professional","aspect",10
"community","become",10
"gain","become",10
"get","become",10
"hard","become",10
"lot","become",10
"make","become",10
"much","become",10
"dentistry","can",10
"like","can",10
"practice","can",10
"ethic","care",10
"high","care",10
"like","care",10
"year","challenge",10
"first","class",10
"feel","clinic",10
"good","clinic",10
"lab","clinic",10
"professional","clinic",10
"year","clinic",10
"practice","clinical",10
"will","colleague",10
"year","colleague",10
"patient","come",10
"patient","community",10
"work","community",10
"field","competent",10
"goal","competent",10
"school","complete",10
"good","continue",10
"didactic","course",10
"learn","day",10
"one","day",10
"ethical","decision",10
"ethic","dental",10
"get","dental",10
"grow","dental",10
"health","dental",10
"improve","dental",10
"nyu","dental",10
"see","dental",10
"make","dentist",10
"oral","dentist",10
"develop","dentistry",10
"feel","dentistry",10
"future","dentistry",10
"gain","dentistry",10
"health","dentistry",10
"want","dentistry",10
"school","develop",10
"lab","didactic",10
"professional","education",10
"ethical","ethic",10
"take","ethic",10
"practice","ethical",10
"first","feel",10
"one","feel",10
"lot","first",10
"learn","four",10
"practice","future",10
"provide","future",10
"will","general",10
"good","get",10
"learn","get",10
"will","get",10
"good","go",10
"school","go",10
"time","go",10
"improve","good",10
"interest","good",10
"life","good",10
"profession","good",10
"trust","good",10
"skill","great",10
"patient","healthcare",10
"learn","help",10
"will","high",10
"life","hope",10
"upon","hope",10
"will","hopefully",10
"learn","improve",10
"professional","individual",10
"patient","interaction",10
"want","just",10
"school","know",10
"time","know",10
"practice","knowledge",10
"time","lab",10
"now","learn",10
"thing","learn",10
"throughout","learn",10
"treat","learn",10
"think","lot",10
"will","lot",10
"one","make",10
"student","make",10
"patient","much",10
"will","much",10
"work","much",10
"professional","must",10
"time","need",10
"professional","nyu",10
"will","nyucd",10
"school","one",10
"outreach","opportunity",10
"will","opportunity",10
"school","order",10
"professional","part",10
"quality","patient",10
"time","patient",10
"relationship","peer",10
"work","peer",10
"school","people",10
"think","people",10
"want","people",10
"provide","possible",10
"school","practice",10
"skill","profession",10
"will","profession",10
"strive","professional",10
"towards","professional",10
"school","professionalism",10
"school","provide",10
"service","provide",10
"skill","provide",10
"year","realize",10
